Nombre,ISIN,Rent Total 1 Día,Rent Total 1 Semana,Rent Total 1 Mes,Rent Total 3 Meses,Rent Total 6 Meses,Rent Total Año,Rent Total 1 Año,Rent Total 3 Años,Rent Total 5 Años,Rent Total 10 Años
UBS J.P.MorganUSDEMIGScrnDivBdETFhEURacc,LU1974696418,"−0,00 %","0,41 %","0,66 %","3,32 %","5,54 %","7,30 %","5,17 %","5,74 %","−2,50 %",—
UBS MSCI AC Asia ex Japan Sel ETF $ acc,IE0003VC1PW8,"1,71 %","4,92 %","3,45 %","9,98 %","30,48 %","30,71 %","25,44 %",—,—,—
UBS MSCI AC Asia ex Japan SF ETF USD acc,IE00B7WK2W23,"0,99 %","2,70 %","4,22 %","10,79 %","32,07 %","33,60 %","26,03 %","22,95 %","6,23 %","7,32 %"
UBS MSCI ACWI Clmt Prs Algnd ETF $ acc,IE00BN4Q0P93,"1,33 %","1,90 %","2,28 %","6,64 %","24,58 %","18,27 %","18,07 %","22,22 %",—,—
UBS MSCI ACWI Sclly Rspnb ETF hCHF acc,IE00BDR55F85,"1,23 %","1,72 %","2,81 %","6,01 %","19,77 %","7,91 %","9,07 %","16,88 %","9,72 %",—
UBS MSCI ACWI Sclly Rspnb ETF hEUR acc,IE00BDR55927,"0,86 %","2,40 %","3,77 %","7,35 %","21,95 %","9,82 %","12,14 %","19,74 %","11,73 %",—
UBS MSCI ACWI Sclly Rspnb ETF hUSD acc,IE00BDR55471,"1,01 %","1,93 %","3,24 %","6,79 %","22,91 %","15,86 %","15,39 %","23,21 %","12,40 %",—
UBS MSCI ACWI Sclly Rspnb ETF USD acc,IE00BDR55703,"1,23 %","1,94 %","3,66 %","7,64 %","23,76 %","12,67 %","15,00 %","22,64 %","13,62 %",—
UBS MSCI ACWI SF ETF hCHF acc,IE00BYM11L64,"0,98 %","2,58 %","2,43 %","6,30 %","20,62 %","13,16 %","13,95 %","16,28 %","10,59 %","8,57 %"
UBS MSCI ACWI SF ETF hCHF Ukdis,IE00BZ2GTT26,"0,75 %","3,22 %","1,65 %","5,88 %","20,22 %","13,37 %","13,69 %","16,32 %","10,45 %",—
UBS MSCI ACWI SF ETF hEUR acc,IE00BYM11K57,"0,90 %","3,16 %","2,71 %","6,99 %","22,68 %","14,37 %","16,37 %","19,04 %","12,40 %","9,65 %"
UBS MSCI ACWI SF ETF USD acc,IE00BYM11H29,"1,30 %","2,77 %","2,81 %","7,04 %","23,72 %","20,55 %","20,49 %","22,62 %","13,38 %",—
UBS MSCI ACWI Universal ETF hCHF acc,IE00BDQZN774,"1,09 %","2,53 %","2,89 %","6,37 %","21,07 %","13,52 %","13,56 %","16,89 %","10,43 %",—
UBS MSCI ACWI Universal ETF hEUR acc,IE00BDQZN337,"1,19 %","2,68 %","3,27 %","7,14 %","22,54 %","15,75 %","16,06 %","19,69 %","12,23 %",—
UBS MSCI ACWI Universal ETF USD dis,IE00BDQZMX67,"0,59 %","1,38 %","1,18 %","6,05 %","23,38 %","19,31 %","18,71 %","22,97 %","12,81 %",—
UBS MSCI Australia ETF AUD acc,IE00BD4TY451,"−0,08 %","1,18 %","3,67 %","3,30 %","11,77 %","10,00 %","10,62 %","13,44 %","11,87 %","8,99 %"
UBS MSCI Australia ETF AUD dis,IE00BD4TY345,"−0,05 %","0,37 %","3,18 %","2,91 %","10,73 %","9,24 %","10,18 %","13,36 %","11,73 %",—
UBS MSCI Australia ETF hEUR acc,IE00BWT3KS11,"−0,23 %","0,82 %","3,27 %","2,52 %","9,55 %","8,51 %","8,36 %","12,44 %","11,24 %",—
UBS MSCI Australia ETF hGBP acc,IE00BXDZNQ90,"0,00 %","0,49 %","2,84 %","3,32 %","11,84 %","10,40 %","11,12 %","14,81 %","12,54 %",—
UBS MSCI Australia ETF hUSD acc,IE00BX7RS555,"0,00 %","0,53 %","2,88 %","3,69 %","12,16 %","9,40 %","11,71 %","15,38 %","13,49 %","9,83 %"
UBS MSCI Australia Universal ETF AUD acc,IE000XN05VU8,"0,58 %","0,67 %","2,62 %","3,27 %","10,53 %","8,30 %","10,73 %",—,—,—
UBS MSCI Canada ETF CAD dis,LU0446734872,"0,71 %","0,76 %","1,40 %","10,92 %","23,55 %","24,92 %","27,02 %","20,40 %","16,26 %","10,66 %"
UBS MSCI Canada ETF hCHF acc,LU1130155432,"0,77 %","0,56 %","1,10 %","10,02 %","21,69 %","21,73 %","23,60 %","16,32 %","13,31 %","8,16 %"
UBS MSCI Canada ETF hEUR acc,LU1130155606,"1,10 %","1,22 %","1,34 %","10,59 %","23,44 %","23,99 %","24,91 %","19,15 %","14,93 %","9,33 %"
UBS MSCI Canada ETF hGBP acc,LU1130156323,"0,65 %","1,19 %","1,58 %","11,25 %","24,47 %","25,62 %","29,12 %","20,75 %","16,30 %","10,14 %"
UBS MSCI Canada Universal ETF CAD acc,IE0004YRJHW4,"0,32 %","0,15 %","1,24 %","9,43 %","23,10 %","24,34 %","29,10 %",—,—,—
UBS MSCI China A SF ETF USD acc,IE00BKFB6K94,"1,30 %","1,88 %","2,83 %","14,65 %","30,00 %","26,16 %","25,60 %","14,48 %","3,93 %",—
UBS MSCI China Universal ETF USD dis,LU1953188833,"0,92 %","1,64 %","−0,02 %","4,01 %","20,20 %","31,94 %","29,98 %","20,58 %","−0,59 %",—
UBS MSCI EM Clmt Prs Algnd ETF USD acc,IE00BN4Q1675,"0,17 %","1,60 %","2,81 %","11,78 %","28,34 %","32,02 %","24,79 %","18,11 %",—,—
UBS MSCI EM ex China ETF USD acc,LU2050966394,"0,00 %","1,63 %","5,12 %","11,80 %","28,86 %","29,77 %","22,17 %",—,—,—
UBS MSCI EM ex Chn Sclly Rspnb ETF $ acc,IE00BNC0MH93,"0,36 %","1,99 %","4,33 %","11,29 %","34,87 %","30,24 %","23,77 %",—,—,—
UBS MSCI EM SF ETF USD acc,IE00B3Z3FS74,"0,82 %","1,97 %","3,28 %","10,44 %","30,47 %","33,14 %","25,77 %","20,75 %","6,78 %","6,97 %"
UBS MSCI EM Socially Resp ETF USD dis,LU1048313891,"1,06 %","3,27 %","5,34 %","9,91 %","31,69 %","33,30 %","26,91 %","21,09 %","7,66 %","6,16 %"
UBS MSCI EMU Clmt Prs Algnd ETF EUR acc,IE00BN4Q0L55,"0,20 %","1,30 %","4,61 %","5,24 %","12,05 %","16,64 %","15,20 %","16,17 %",—,—
UBS MSCI EMU Select Factor Mix ETFEURacc,LU1804202403,"0,00 %","0,00 %","1,27 %","1,32 %","9,78 %","17,56 %","16,43 %","17,69 %","12,07 %",—
UBS MSCI EMU Small Cap ETF EUR dis,LU0671493277,"0,49 %","2,41 %","2,20 %","1,26 %","15,94 %","24,10 %","21,39 %","15,07 %","11,45 %","7,95 %"
UBS MSCI EMU Socially Resp ETF EUR dis,LU0629460675,"0,29 %","1,71 %","5,20 %","5,33 %","10,67 %","15,62 %","16,37 %","16,50 %","11,00 %","8,28 %"
UBS MSCI EMU Socially Resp ETF hCHF acc,LU1273642816,"0,49 %","0,74 %","4,37 %","4,50 %","8,74 %","13,15 %","12,95 %","13,83 %","9,41 %",—
UBS MSCI EMU Socially Resp ETF hGBP dis,LU1280300853,"0,23 %","1,66 %","5,23 %","5,77 %","11,72 %","17,07 %","18,27 %","18,10 %","12,09 %",—
UBS MSCI EMU Universal ETF EUR acc,IE00BNC0M913,"0,00 %","0,60 %","3,78 %","4,77 %","13,59 %","19,90 %","18,62 %","19,27 %",—,—
UBS MSCI EMU Value UCITS ETF EUR dis,LU0446734369,"0,00 %","0,59 %","2,11 %","3,62 %","13,30 %","28,39 %","24,61 %","21,69 %","16,84 %","7,29 %"
UBS MSCI Europe Clmt Prs Algnd ETF € acc,IE00BN4Q0933,"0,14 %","1,32 %","4,55 %","4,68 %","11,87 %","14,33 %","10,79 %","15,12 %",—,—
UBS MSCI Europe Sclly Rspnb ETF EUR acc,LU2206597804,"0,63 %","1,80 %","5,36 %","3,40 %","7,20 %","7,56 %","5,26 %","14,28 %",—,—
UBS MSCI Europe Sclly Rspnb ETF hEUR acc,LU2206598109,"0,56 %","1,59 %","4,82 %","2,94 %","7,05 %","7,57 %","5,64 %","14,01 %",—,—
UBS MSCI Japan Socially Rspn ETF hCHFdis,LU1273488475,"0,53 %","2,16 %","4,28 %","7,81 %","21,74 %","16,34 %","22,14 %","19,30 %","14,38 %",—
UBS MSCI Japan Socially Rspn ETF hEURacc,LU1273488715,"−0,53 %","2,38 %","4,56 %","9,13 %","22,90 %","18,00 %","25,05 %","21,91 %","15,96 %",—
UBS MSCI Japan Socially Rspn ETF hUSDacc,LU1273489440,"0,20 %","2,37 %","3,92 %","9,95 %","23,96 %","19,65 %","26,73 %","24,14 %","17,93 %",—
UBS MSCI Japan Socially Rspn ETF JPY dis,LU1230561679,"0,32 %","2,34 %","4,39 %","9,58 %","21,95 %","17,51 %","23,25 %","18,80 %","14,51 %","8,62 %"
UBS MSCI Japan Universal ETF JPY acc,IE00BNC0MD55,"0,01 %","2,28 %","4,70 %","12,25 %","28,59 %","19,92 %","26,79 %","22,54 %",—,—
UBS MSCI Jpn Clmt Prs Algnd ETF JPY acc,IE00BN4Q0X77,"0,00 %","2,20 %","4,97 %","13,66 %","26,88 %","19,09 %","20,87 %","15,91 %",—,—
UBS MSCI Jpn Clmt PrsAlgndETFir-hEURacc,IE000JHYO4T6,"0,83 %","2,56 %","5,54 %","13,46 %","28,07 %","20,80 %","22,77 %","18,60 %",—,—
UBS MSCI Pac ex Jpn IMIScllyRspnbETF$acc,IE000BKMMHF9,"0,00 %","0,60 %","1,04 %","2,60 %","15,78 %","19,79 %","13,63 %","15,48 %",—,—
UBS MSCI Pac ex JpnIMIScllyRspnbETFh€acc,IE000BAF6X29,"0,00 %","0,00 %","1,55 %","1,93 %","15,26 %","10,03 %","17,55 %","13,59 %",—,—
UBS MSCI Pacific ex Japan ETF USD dis,LU0446734526,"−0,08 %","0,56 %","1,24 %","1,91 %","16,33 %","18,34 %","14,87 %","16,61 %","8,52 %","6,85 %"
UBS MSCI Pacific Sclly Rspnb ETF USD dis,LU0629460832,"−0,19 %","0,29 %","0,56 %","−0,46 %","10,07 %","15,20 %","13,98 %","15,00 %","5,26 %","5,80 %"
UBS MSCI Singapore UCITS ETF SGD dis,LU1169825954,"0,00 %","−0,34 %","−0,53 %","4,12 %","18,55 %","23,58 %","32,90 %","23,90 %","12,85 %","6,40 %"
UBS MSCI Swiss Dividend ETF CHF Dis,CH1244681594,"0,05 %","1,05 %","4,79 %","0,65 %","0,44 %","8,18 %","3,19 %",—,—,—
UBS MSCI Switz IMI Sclly Resp ETF CHFdis,CH0368190739,"0,34 %","1,68 %","4,18 %","0,42 %","6,91 %","9,37 %","4,98 %","10,18 %","6,76 %",—
UBS MSCI Switz IMI Sclly RspnbETF CHFacc,LU2250132763,"−0,34 %","1,05 %","4,05 %","0,70 %","7,00 %","8,36 %","4,33 %","9,24 %",—,—
UBS MSCI Switzerland 20/35 ETF CHF acc,LU0977261329,"0,15 %","−0,27 %","4,59 %","3,70 %","6,22 %","11,08 %","5,44 %","7,39 %","5,70 %","5,52 %"
UBS MSCI Switzerland 20/35 ETF CHF dis,LU0979892907,"0,09 %","−0,28 %","4,63 %","3,80 %","6,28 %","11,15 %","5,27 %","7,35 %","5,77 %","5,50 %"
UBS MSCI Switzerland 20/35 ETF hEUR acc,LU1169830103,"0,16 %","−0,23 %","4,76 %","4,50 %","7,80 %","12,97 %","7,76 %","9,92 %","7,18 %",—
UBS MSCI Switzerland 20/35 ETF hGBP acc,LU1169830525,"0,07 %","−0,24 %","5,29 %","4,83 %","8,82 %","13,85 %","9,91 %","11,33 %","8,34 %","7,25 %"
UBS MSCI Switzerland ETF CHF dis,CH0226274246,"−0,09 %","−0,53 %","4,47 %","3,47 %","6,04 %","11,11 %","5,24 %","8,19 %","6,47 %","6,31 %"
UBS MSCI Switzerland hEUR ETF EUR dis,CH0226274204,"−0,14 %","−0,14 %","4,72 %","4,50 %","8,03 %","12,91 %","8,01 %","10,71 %","7,91 %","7,19 %"
UBS MSCI Switzerland hUSD ETF USD dis,CH0226274212,"0,27 %","0,12 %","5,37 %","5,07 %","9,46 %","15,10 %","10,66 %","13,00 %","10,05 %","9,38 %"
UBS MSCI UK IMI Sclly Rspnb ETF GBP dis,IE00BMP3HN93,"0,69 %","3,10 %","4,48 %","4,63 %","15,14 %","19,74 %","19,83 %","14,78 %","9,73 %","6,55 %"
UBS MSCI UK IMI Sclly Rspnb ETF hCHF dis,IE00BZ0RTB90,"0,70 %","2,56 %","3,76 %","3,69 %","12,59 %","16,62 %","14,51 %","10,63 %","6,99 %",—
UBS MSCI UK IMI Sclly Rspnb ETF hEUR acc,IE00BYNQMK61,"0,42 %","2,56 %","4,29 %","3,23 %","13,64 %","18,06 %","17,04 %","13,04 %","8,39 %",—
UBS MSCI United Kingdom ETF GBP acc,LU0950670850,"0,86 %","3,15 %","4,60 %","7,07 %","16,45 %","22,69 %","20,63 %","14,89 %","15,09 %","7,93 %"
UBS MSCI United Kingdom ETF GBP dis,LU0937836467,"0,88 %","3,00 %","4,38 %","6,88 %","16,69 %","22,15 %","20,34 %","14,91 %","14,95 %","8,09 %"
UBS MSCI United Kingdom ETF hCHF acc,LU1169820997,"0,61 %","2,93 %","3,90 %","5,71 %","13,64 %","18,37 %","15,55 %","10,95 %","11,77 %",—
UBS MSCI United Kingdom ETF hEUR acc,LU1169821292,"0,37 %","2,74 %","4,01 %","5,81 %","14,56 %","19,73 %","18,06 %","12,96 %","13,33 %",—
UBS MSCI USA Clmt Paris Algnd ETFUSDacc,IE00BN4Q0602,"1,33 %","2,82 %","2,65 %","7,34 %","27,98 %","12,17 %","15,74 %","22,81 %",—,—
UBS MSCI USA ETF USD dis,LU0136234654,"1,08 %","2,56 %","1,84 %","6,78 %","27,28 %","14,90 %","18,32 %","23,40 %","15,27 %","13,89 %"
UBS MSCI USA ex Mega Cap UCITSETFUSDacc,IE0004993469,"0,71 %","1,11 %","1,74 %",—,—,—,—,—,—,—
UBS MSCI USA Mega Cap UCITS ETFUSDacc,IE000YCD1TY0,"1,32 %","3,26 %","2,31 %",—,—,—,—,—,—,—
UBS MSCI USA NSL ETF USD acc,IE000OULL4R4,"1,26 %","2,83 %","2,12 %","7,02 %","26,71 %","15,19 %","18,28 %","23,78 %","15,54 %",—
UBS MSCI USA Sclly Resp ETF hCHF acc,IE00BJXT3L85,"1,38 %","2,56 %","2,96 %","5,20 %","19,52 %","7,15 %","8,12 %","16,51 %","9,23 %",—
UBS MSCI USA Sclly Resp ETF hEUR acc,IE00BJXT3G33,"0,00 %","0,00 %","1,73 %","4,15 %","19,29 %","6,66 %","8,96 %","18,76 %","10,60 %",—
UBS MSCI USA Sclly Resp ETF hGBP dis,IE00BJXT3H40,"1,45 %","2,70 %","3,45 %","6,24 %","22,45 %","11,01 %","12,75 %","20,91 %","12,04 %",—
UBS MSCI USA Sclly Resp ETF USD Acc,IE00BJXT3C94,"1,10 %","2,12 %","2,69 %","5,75 %","22,04 %","11,42 %","11,87 %","22,05 %","13,07 %",—
UBS MSCI USA Sel Fac Mix ETFhEURacc,IE00BDGV0746,"0,38 %","0,63 %","1,29 %","3,94 %","14,18 %","8,73 %","7,87 %","14,58 %","10,50 %",—
UBS MSCI USA Sel Fac Mix ETFUSDacc,IE00BDGV0415,"0,40 %","0,65 %","1,31 %","4,08 %","16,66 %","10,64 %","10,08 %","17,34 %","12,57 %",—
UBS MSCI USA Sel Fac Mix ETFUSDdis,IE00BDGV0308,"0,45 %","0,58 %","1,24 %","4,78 %","15,93 %","10,64 %","10,07 %","17,27 %","12,84 %",—
UBS MSCI USA Sel Fac MixETFhCHFacc,IE00BDGV0C91,"1,99 %","1,62 %","0,65 %","3,95 %","14,46 %","8,30 %","6,42 %","12,37 %","9,03 %",—
UBS MSCI USA Selection ETF USD acc,IE00063GNWK1,"1,17 %","2,72 %","2,88 %","7,02 %","28,81 %","16,25 %","16,83 %","24,26 %","15,91 %",—
UBS MSCI USA SF ETF USD acc,IE00B3SC9K16,"0,49 %","2,72 %","2,02 %","6,99 %","25,69 %","15,25 %","18,34 %","23,48 %","15,48 %","14,21 %"
UBS MSCI USA Sm Cp Selion ETFUSDacc,IE000XFXBGR0,"1,87 %","3,98 %","1,74 %","6,17 %","23,26 %","7,27 %","7,25 %","11,48 %","9,71 %",—
UBS MSCI USA Socially Rspnb ETF hCHF acc,LU1273641503,"1,01 %","2,11 %","2,45 %","4,56 %","18,74 %","5,98 %","6,91 %","16,57 %","8,93 %",—
UBS MSCI USA Socially Rspnb ETF hEUR dis,LU1280303014,"1,30 %","2,58 %","3,14 %","5,58 %","20,92 %","8,80 %","10,25 %","19,13 %","10,68 %",—
UBS MSCI USA Socially Rspnb ETF USD dis,LU0629460089,"1,29 %","2,47 %","3,16 %","6,15 %","22,48 %","11,67 %","12,25 %","21,89 %","13,05 %","13,15 %"
UBS MSCI USA Tech125UnvslETFUSDacc,IE0003B4BV34,"1,59 %","4,50 %","3,51 %","10,47 %","38,95 %","18,91 %","26,60 %","35,76 %",—,—
UBS MSCI USA Unvsl ETF USD acc,IE00BNC0M350,"1,31 %","2,72 %","2,32 %","6,75 %","24,56 %","15,23 %","16,81 %","23,54 %",—,—
UBS MSCI USA Value ETF USD dis,IE00B78JSG98,"0,86 %","1,95 %","1,07 %","4,06 %","15,73 %","12,46 %","8,59 %","14,00 %","12,58 %","9,53 %"
UBS MSCI World ETF USD dis,LU0340285161,"0,66 %","1,92 %","1,92 %","5,80 %","23,94 %","18,94 %","18,74 %","22,20 %","13,89 %","11,46 %"
UBS MSCI World ex Mega CapUCITSETFUSDacc,IE0002THYAT9,"0,63 %","0,96 %","1,49 %",—,—,—,—,—,—,—
UBS MSCI World ex USA ETF USD acc,LU2448026133,"0,11 %","−0,02 %","1,42 %","4,84 %","17,21 %","26,83 %","22,50 %",—,—,—
UBS MSCI World Mega Cap UCITS ETFUSDacc,IE000RTQ5X23,"0,70 %","1,36 %","1,58 %",—,—,—,—,—,—,—
UBS MSCI World Socially Rspnb ETF USDdis,LU0629459743,"0,99 %","2,12 %","3,21 %","5,35 %","20,48 %","13,33 %","13,97 %","22,41 %","12,18 %","11,30 %"
UBS MSCI Wrld ex USAClmt PrsAlgndETF$acc,IE00BN4Q0370,"0,55 %","0,86 %","2,79 %","4,84 %","16,80 %","19,39 %","20,05 %","23,61 %",—,—
UBS MSCI Wrld Sclly Resp ETF hEUR acc,IE00BK72HN04,"1,11 %","2,34 %","3,72 %","6,14 %","21,10 %","11,48 %","13,68 %","20,74 %","12,76 %",—
UBS MSCI Wrld Sclly Resp ETF hGBP dis,IE00BK72HT65,"1,18 %","3,53 %","3,45 %","5,05 %","18,44 %","8,46 %","8,52 %","16,80 %","9,66 %",—
UBS MSCI Wrld Sclly Resp ETF USD acc,IE00BK72HJ67,"1,09 %","1,92 %","3,28 %","5,35 %","20,97 %","14,17 %","13,92 %","22,02 %","12,44 %",—
UBS MSCI Wrld Selion ETF hCHF acc,IE000F0DNOJ1,"1,20 %","2,13 %","3,01 %","5,87 %","23,00 %","11,81 %","11,69 %","17,21 %","11,41 %",—
UBS MSCI Wrld Selion ETF hEUR acc,IE0009W21NT4,"0,65 %","2,04 %","3,47 %","6,55 %","23,45 %","13,61 %","15,33 %","20,03 %","13,14 %",—
UBS MSCI Wrld Selion ETF USD acc,IE000TG1LGI4,"0,97 %","1,95 %","2,81 %","6,32 %","25,50 %","17,96 %","17,68 %","23,51 %","14,25 %",—
UBS MSCI Wrld Sm Cp Sclly Resp ETFUSDacc,IE00BKSCBX74,"0,60 %","3,10 %","1,66 %","4,76 %","20,14 %","14,75 %","11,58 %","15,14 %",—,—
UBS MSCI Wrld Sm Cp Sclly Resp ETFUSDdis,IE00BKSCBW67,"0,95 %","1,68 %","0,70 %","5,51 %","19,62 %","12,82 %","10,96 %","14,84 %",—,—
UBS Nasdaq-100 ESG Enhd ETF USD acc,IE000PWGE381,"1,45 %","3,20 %","4,08 %","11,71 %","38,09 %",—,—,—,—,—
UBS Nasdaq-100 ETF USD dis,IE0003RQ9F90,"0,88 %","1,78 %","2,12 %","8,48 %","34,57 %",—,—,—,—,—
UBS Palladium ETF USD dis,CH0118929022,"0,00 %","−5,24 %","19,36 %","14,97 %","52,04 %","60,26 %","27,79 %","−11,01 %","−9,73 %","7,61 %"
UBS Platinum ETF USD dis,CH0116014934,"−1,74 %","−2,02 %","8,10 %","14,06 %","63,33 %","73,45 %","53,36 %","19,73 %","11,27 %","4,32 %"
UBS S&P 500 Clmt Trns ESG ETF USDacc,IE000S4A5WE2,"0,68 %","2,31 %","1,88 %","6,76 %","23,51 %","13,18 %","16,06 %",—,—,—
UBS S&P 500 Clmt Trns ESGETFhEUR acc,IE0009WWNY77,"0,87 %","2,48 %","1,97 %","6,10 %","21,74 %","12,02 %","14,46 %",—,—,—
UBS S&P 500 Equal Weight SF ETF USD acc,IE0008GBXCA4,"0,62 %","2,21 %","1,41 %","2,80 %","16,00 %",—,—,—,—,—
UBS S&P 500 ESG Elite ETF hEUR acc,IE00BLSN7W87,"0,53 %","1,87 %","2,81 %","6,58 %","24,06 %","13,71 %","11,16 %","19,71 %",—,—
UBS S&P 500 ESG Elite ETF hGBP dis,IE00BLSN7X94,"1,37 %","2,97 %","4,40 %","7,76 %","25,60 %","16,19 %","14,59 %","21,56 %",—,—
UBS S&P 500 ESG Elite ETF USD acc,IE00BLSN7P11,"1,51 %","3,00 %","4,41 %","7,99 %","28,15 %","15,49 %","14,62 %","22,69 %",—,—
UBS S&P 500 Scrd & Scrn ETF USD dis,IE00BHXMHK04,"0,33 %","3,34 %","2,00 %","7,52 %","26,58 %","15,09 %","15,77 %","22,56 %","16,12 %",—
UBS S&P 500 SF ETF USD acc,IE00B4JY5R22,"0,97 %","2,59 %","1,76 %","6,51 %","24,80 %","15,02 %","17,38 %","22,88 %","15,81 %","14,15 %"
UBS S&P 500Scrd &Scrn ETFhCHFacc,IE00BHXMHQ65,"1,10 %","3,07 %","2,79 %","7,19 %","25,01 %","13,42 %","14,50 %","20,13 %","13,86 %",—
UBS S&P Div Aristocrats ESG E ETF USDdis,IE00BMP3HG27,"0,00 %","0,51 %","0,47 %","3,29 %","14,42 %","23,23 %","15,69 %","15,22 %","11,53 %","6,66 %"
UBS S&P Div Aristocrats ESG E ETFhEURdis,IE00BM9TV208,"0,49 %","1,78 %","2,91 %","2,04 %","12,23 %","12,31 %","8,78 %","9,96 %",—,—
UBS S&P USA Div AristocratsESGEETFUSDdis,IE000JQ2IJD3,"0,00 %","0,89 %","−0,66 %","−0,10 %","6,80 %","2,47 %","−3,12 %",—,—,—
UBS S&P USA DivAristocratsESGEETFhEURdis,IE000S6476U8,"0,00 %","0,00 %","0,00 %","−0,24 %","−0,24 %","−5,58 %","−5,20 %",—,—,—
UBS SARON® SF ETF CHF acc,CH1415798458,"0,00 %","0,00 %","0,00 %","< 0,01 %","0,06 %",—,—,—,—,—
UBS SBI® AAA-BBB ESG ETF CHF dis,CH0118923892,"−0,13 %","0,28 %","0,36 %","1,23 %","1,81 %","0,29 %","2,12 %","4,32 %","−0,43 %","−0,50 %"
UBS SBI® Corporate ESG ETF CHF dis,CH0118923876,"0,43 %","0,03 %","0,09 %","0,77 %","1,43 %","0,81 %","2,44 %","3,90 %","0,11 %","−0,45 %"
UBS SBI® Frgn AAA-BBB 1-5 ESG ETF CHFdis,LU0879397742,"−0,18 %","−0,06 %","−0,03 %","0,21 %","1,01 %","0,95 %","2,08 %","2,83 %","0,19 %","0,02 %"
UBS SBI® Frgn AAA-BBB 5-10 ESG ETFCHFdis,LU0879399441,"0,07 %","−0,03 %","0,34 %","0,99 %","2,07 %","1,39 %","2,72 %","4,87 %","−0,19 %","0,18 %"
UBS Silver ETF USD dis,CH0118929048,"−1,05 %","−6,42 %","10,77 %","24,79 %","46,02 %","69,21 %","43,69 %","35,95 %","13,88 %","11,26 %"
UBS SLI® ETF CHF dis,CH0032912732,"0,40 %","0,60 %","4,02 %","1,73 %","6,44 %","9,71 %","5,68 %","11,43 %","8,48 %","7,39 %"
UBS SMIM® ETF CHF dis,CH0111762537,"0,40 %","1,61 %","2,22 %","−1,72 %","11,58 %","11,46 %","8,44 %","8,32 %","3,92 %","6,78 %"
UBS SMI® ETF CHF dis,CH0017142719,"0,14 %","−0,59 %","4,97 %","4,19 %","5,47 %","11,48 %","6,08 %","8,96 %","7,60 %","6,61 %"
UBS Solactive China Technology ETF $ acc,LU2265794276,"0,10 %","−1,13 %","−4,82 %","8,38 %","29,69 %","54,18 %","54,72 %","23,76 %",—,—
UBS Solactive China Technology ETF h€acc,LU2265794946,"2,06 %","3,48 %","−4,84 %","10,00 %","30,29 %","56,23 %","63,68 %","26,59 %",—,—
UBS Solactive Glbl PureGoldMnrsETFUSDdis,IE00B7KMNP07,"0,73 %","−6,33 %","3,71 %","44,21 %","51,62 %","134,54 %","97,75 %","60,65 %","18,19 %","19,94 %"
UBS SPI® ESG ETF CHF acc,CH0590186661,"0,12 %","−0,06 %","4,19 %","1,98 %","7,14 %","11,27 %","6,67 %","9,05 %",—,—
UBS SPI® Mid ETF CHF dis,CH0130595124,"0,18 %","2,16 %","1,56 %","−0,82 %","12,37 %","11,74 %","7,79 %","9,22 %","5,04 %","7,34 %"
UBS Sust Devpmt Bk Bds 5-10 ETF hEUR acc,LU2880762948,"0,04 %","0,12 %","1,04 %","2,98 %","3,49 %","6,43 %",—,—,—,—
UBS Sust Devpmt Bk Bds ETF hCHF acc,LU1852211561,"−0,11 %","0,03 %","0,37 %","1,23 %","0,98 %","2,04 %","0,86 %","0,40 %","−2,58 %",—
UBS Sust Devpmt Bk Bds ETF hEUR acc,LU1852211991,"0,11 %","−0,08 %","0,74 %","1,89 %","2,13 %","4,40 %","3,48 %","2,75 %","−1,07 %",—
UBS Sust Devpmt Bk Bds ETF USD acc,LU1852211215,"−0,05 %","0,16 %","0,89 %","2,51 %","3,19 %","6,18 %","5,65 %","4,95 %","0,71 %",—
UBS Sust Devpmt Bk Bds ETF USD dis,LU1852212965,"0,01 %","0,21 %","0,80 %","2,43 %","3,39 %","6,54 %","5,94 %","5,14 %","0,77 %",—
UBS SXI Real Estate® ETF CHF dis,CH0124758522,"0,50 %","1,09 %","2,50 %","1,69 %","5,64 %","8,14 %","14,68 %","12,20 %","6,05 %","6,13 %"
UBS SXI Real Estate® Funds ETF CHF dis,CH0105994401,"0,58 %","0,52 %","1,99 %","2,60 %","6,84 %","5,94 %","12,85 %","11,65 %","5,47 %","5,49 %"
UBS US Eq Defesv Put Wr SF ETF hEUR acc,IE000V73IL86,"0,16 %","0,87 %","1,21 %",—,—,—,—,—,—,—
UBS US Equity Def Cov Call SF ETF USDacc,IE00BLDGHX39,"0,87 %","3,43 %","1,75 %","7,05 %","21,51 %","12,61 %","14,90 %","20,44 %","13,99 %",—
UBS US Equity Defensive PutWrSFETFUSDacc,IE00BLDGHF56,"0,16 %","0,88 %","2,41 %","3,74 %","8,06 %","6,46 %","7,75 %","9,92 %","7,55 %",—
UBS USD Treasury Yield Plus ETF USD acc,LU3079567056,"0,00 %","0,37 %","0,76 %",—,—,—,—,—,—,—
UBSETFSolactiveUS listGold&SilvMinAacc,IE000EPIJ442,"−0,14 %","−7,32 %","−0,15 %","43,91 %","62,63 %",—,—,—,—,—
UmweltBank ETF - Global SDG Focus,LU2679277744,"1,08 %","3,21 %","2,83 %","5,70 %","16,48 %","3,09 %","3,21 %",—,—,—
UmweltBank UCITS-ETF - Grn & SclBdsEur-P,LU3093383670,"−0,07 %","0,10 %","0,41 %","0,35 %",—,—,—,—,—,—
