Nombre,ISIN,Último Precio,Rendimiento 12 Meses,Categoría Morningstar,Medalist Rating,Rating Morningstar para Fondos,Rating ESG Morningstar Para Fondos,Patrimonio (moneda base),Fecha Patrimonio Fondo,Costes PRIIPs KID,Fecha de creación
AXA IM US Treasury 25+ Year ETF USD Acc,IE000GBYNAU4,"9,85 US$",—,USD Government Bond,—,—,,"13,81 MUS$",13 oct 2025,"0,07 %",4 oct 2024
AXA IM USD Credit PAB ETF USD Acc,IE000N0TTJQ9,"12,06 US$","0,00 %",USD Corporate Bond,,—,,"119,37 MUS$",13 oct 2025,"0,18 %",30 oct 2023
Bitwise Physical Ethereum ETC,DE000A3GMKD7,—,—,Digital Assets,—,—,—,"183,15 MUS$",13 oct 2025,"1,49 %",5 mar 2021
Blei TR ETC EUR,DE000PB8LED5,—,—,Commodities - Industrial & Broad Metals,—,—,—,"341.181,00 €",13 oct 2025,"0,91 %",22 may 2017
BNP Paribas Easy Alpha Enh US ETF € Cap,IE00032YLFR3,—,—,US Large-Cap Blend Equity,—,—,—,"32,77 M€",13 oct 2025,"0,10 %",11 jul 2025
BNP Paribas Easy Alpha Enh Wld ETF € Cap,IE0002DDYPW4,—,—,Global Large-Cap Blend Equity,—,—,—,"37,86 M€",13 oct 2025,"0,13 %",16 jul 2025
BNP Paribas Easy CAC 40® ESG ETF,FR0010150458,—,"0,00 %",France Equity,,,,"215,90 M€",13 oct 2025,"0,25 %",7 mar 2005
BNP Paribas Easy Dividend Eurp ETF Cap,LU1615090864,—,"0,00 %",Europe Equity Income,,,—,"29,48 M€",13 oct 2025,"0,31 %",29 ago 2017
BNP Paribas EASY ECPI GlbESGInfrasETFEUR,IE000FF2EBQ8,"86,65 €","0,00 %",Sector Equity Infrastructure,,—,,"288,01 M€",10 oct 2025,"0,31 %",3 nov 2023
BNP Paribas EASY ECPI GlbESGInfrasETFUSD,IE0006O3TTP9,"13,95 US$","0,00 %",Sector Equity Infrastructure,,—,,"333,51 MUS$",10 oct 2025,"0,31 %",3 nov 2023
BNP Paribas Easy EUR Overnight ETF Acc,LU3025345516,"10,08 €",—,French PEA ESTR SWAP,—,—,,"346,96 M€",13 oct 2025,"0,05 %",18 jun 2025
BNP Paribas Easy Low Vol Europe ETF C,LU1377381717,—,"0,00 %",Europe Large-Cap Blend Equity,,,,"62,11 M€",13 oct 2025,"0,31 %",7 jun 2016
BNP Paribas Easy MSCI Wld Eql Wt SelUCI€,IE0008D0AIU9,"11,31 €",—,Global Large-Cap Blend Equity,—,—,—,"48,97 M€",10 oct 2025,"0,20 %",15 abr 2025
BNP Paribas Easy Quality Europe ETF Cap,LU1377382103,"181,84 €","0,00 %",Europe Large-Cap Blend Equity,,,,"72,09 M€",13 oct 2025,"0,31 %",7 jun 2016
BNP Paribas Easy S&P 500 ESG ETF Acc,IE0000VX9GN7,"16,52 US$","0,00 %",US Large-Cap Blend Equity,,—,,"849,11 MUS$",13 oct 2025,"0,13 %",12 may 2023
BNP Paribas Easy S&P 500 ESG ETF EUR Acc,IE0004J37T45,"15,75 €","0,00 %",US Large-Cap Blend Equity,,—,,"734,46 M€",13 oct 2025,"0,13 %",12 may 2023
BNP Paribas Easy S&P 500 ESG ETF H € Acc,IE000Q6C8036,"13,45 €","0,00 %",Other Equity,—,—,,"734,46 M€",13 oct 2025,"0,13 %",9 ene 2024
BNP Paribas Easy Sust Jpn ETF € Acc,IE000YARBD10,"10,87 €","0,00 %",Japan Large-Cap Blend Equity,,—,,"406,18 M€",10 oct 2025,"0,20 %",24 jul 2024
BNP Paribas Easy Sust US ETF EUR Cap,IE0000LVTJ08,"11,97 €","0,00 %",US Large-Cap Blend Equity,,—,,"486,73 M€",13 oct 2025,"0,20 %",6 ago 2024
BNP Paribas Easy Sust US ETF USD Cap,IE000130VPV5,"12,69 US$","0,00 %",US Large-Cap Blend Equity,,—,,"562,71 MUS$",13 oct 2025,"0,20 %",6 ago 2024
BNP Paribas Easy Sust Wld ETF EUR Cap,IE0007QB4QS2,"11,41 €","0,00 %",Global Large-Cap Blend Equity,—,—,,"1213,57 M€",13 oct 2025,"0,20 %",11 sept 2024
BNP Paribas Easy Sust Wld ETF R EUR Cap,IE000K48NTA1,"11.396,42 €","0,00 %",Global Large-Cap Blend Equity,—,—,,"1213,57 M€",13 oct 2025,"0,20 %",11 sept 2024
BNP Paribas Easy Sust Wld ETF USD Cap,IE000629MKR4,"12,01 US$","0,00 %",Global Large-Cap Blend Equity,—,—,,"1403,00 MUS$",13 oct 2025,"0,20 %",11 sept 2024
BNP Paribas Easy Value Europe ETF Cap,LU1377382285,"170,92 €","0,00 %",Europe Large-Cap Value Equity,,,,"52,25 M€",13 oct 2025,"0,30 %",7 jun 2016
BNP Paribas Easy €CrpBdSRIFsslFr7-10YETF,LU2742532828,"10,74 €","0,00 %",EUR Corporate Bond,,—,—,"39,38 M€",13 oct 2025,"0,15 %",7 may 2024
BNPP E ECPI Circular Economy Ldrs ETFCap,LU1953136527,—,"0,00 %",Global Large-Cap Blend Equity,,,,"516,12 M€",13 oct 2025,"0,30 %",24 abr 2019
BNPP E ECPI Glbl ESG Med Tech ETF € Cap,LU2365457410,—,"0,00 %",Sector Equity Healthcare,,,,—,—,"0,31 %",10 dic 2021
BNPP E ECPI Global ESG Blue Ecnmy ETFCap,LU2194447293,—,"0,00 %",Other Equity,—,—,,"103,67 M€",13 oct 2025,"0,31 %",14 sept 2020
BNPP E Energy & Metals EnhRoll ETF EUR C,LU1291109616,—,"0,00 %",Commodities - Broad Basket,—,—,—,"302,40 M€",13 oct 2025,"0,39 %",1 abr 2016
BNPP E Energy & Metals EnhRoll ETF USD C,LU1291109533,—,"0,00 %",Commodities - Broad Basket,—,—,—,"349,61 MUS$",13 oct 2025,"0,39 %",26 abr 2016
BNPP E FTSE EPRA Nrt GlbDevGrnCTBETF€Cap,IE0007YP0PL1,"8,54 €",—,Property - Indirect Global,—,—,—,"26,25 M€",13 oct 2025,"0,41 %",6 dic 2024
BNPP E FTSE EPRA Nt Dev EurpGrnCTBETFCap,LU2008763935,—,"0,00 %",Property - Indirect Europe,,,,"111,68 M€",13 oct 2025,"0,41 %",9 oct 2019
BNPP E FTSE EPRA/NAREIT Euroz Cpd ETF C,LU0950381748,"9,24 €","0,00 %",Property - Indirect Eurozone,,,,"218,26 M€",13 oct 2025,"0,40 %",8 jul 2013
BNPP E FTSE EPRA/NAREIT Euroz Cpd ETF QD,LU0192223062,—,"3,72 %",Property - Indirect Eurozone,,,,"218,26 M€",13 oct 2025,"0,40 %",8 jul 2004
BNPP E JPM ESG EMBI Gl Dvr Cmps ETF,LU1547515053,—,"0,00 %",Global Emerging Markets Bond,,,,"1357,84 MUS$",10 oct 2025,"0,26 %",21 ene 2021
BNPP E JPM ESG EMBI Gl Dvr Cmps ETF HAUD,LU2929405640,"10,95 AUD",—,Other Bond,—,—,,"2076,68 MAUD",10 oct 2025,"0,26 %",15 nov 2024
BNPP E JPM ESG EMBI Gl Dvr Cmps ETF HEUR,LU1547515137,—,"0,00 %",Global Emerging Markets Bond - EUR Hedged,,,,"1172,58 M€",10 oct 2025,"0,26 %",21 ene 2021
BNPP E JPM ESG EMBI Gl Dvr Cmps ETF HGBP,LU2868144093,"11,20 GBP","0,00 %",Global Emerging Markets Bond - GBP Hedged,,—,,"1020,59 MGBP",10 oct 2025,"0,26 %",9 ago 2024
BNPP E JPM ESG EMU Govt Bd IG1-3Y ETFCap,LU2533810862,"10,77 €","0,00 %",EUR Government Bond - Short Term,,—,,"456,72 M€",13 oct 2025,"0,15 %",2 feb 2023
BNPP E JPM ESG EMU Govt Bd IG1-3YETFDist,LU2533810789,"10,26 €","2,25 %",EUR Government Bond - Short Term,,—,,"456,72 M€",13 oct 2025,"0,15 %",2 feb 2023
BNPP E JPM ESG EMU Govt Bd IG10Y+ ETFCap,LU2742533636,"10,15 €","0,00 %",EUR Government Bond,,—,,"32,91 M€",13 oct 2025,"0,15 %",26 abr 2024
BNPP E JPM ESG EMU GovtBd IG 3-5Y ETF,LU2244387457,—,"0,00 %",EUR Government Bond,,,,"2749,03 M€",13 oct 2025,"0,15 %",21 ene 2021
BNPP E JPM ESG Grn Scl&SstbyIG€BdETF€Cap,LU2365458814,—,"0,00 %",EUR Diversified Bond,,,,"276,03 M€",13 oct 2025,"0,25 %",10 dic 2021
BNPP E Low Carbon 100 Europe PAB® ETF,LU1377382368,—,"0,00 %",Europe Large-Cap Blend Equity,,,,"506,86 M€",13 oct 2025,"0,30 %",2 jun 2017
BNPP E MSCI ACWI SRI S-Sr 5% Cpd ETF C,IE000WQ5O293,"12,40 US$","0,00 %",Global Large-Cap Blend Equity,,—,,"44,02 MUS$",10 oct 2025,"0,20 %",18 abr 2024
BNPP E MSCI ACWI SRI S-Sr 5% Cpd ETF € C,IE0004HBJKG0,"11,39 €","0,00 %",Global Large-Cap Blend Equity,,—,,"38,01 M€",10 oct 2025,"0,20 %",18 abr 2024
BNPP E MSCI China Min TE ETF € C,LU2314312849,—,"0,00 %",China Equity,,,,"113,12 M€",13 oct 2025,"0,27 %",30 jun 2021
BNPP E MSCI Em SRI PAB ETF Cap,LU1291098314,—,"0,00 %",Global Emerging Markets Equity,,,—,"311,02 MUS$",13 oct 2025,"0,31 %",21 oct 2015
BNPP E MSCI Em SRI PAB ETF EUR Cap,LU1659681230,—,"0,00 %",Global Emerging Markets Equity,,,—,"269,03 M€",13 oct 2025,"0,31 %",6 jul 2018
BNPP E MSCI Em SRI PAB ETF EURDis,LU1659681313,—,"2,61 %",Global Emerging Markets Equity,,,—,"269,03 M€",13 oct 2025,"0,31 %",25 oct 2017
BNPP E MSCI Emerging Min TE ETF €Cap,LU1291097779,"13,14 €","0,00 %",Global Emerging Markets Equity,,,—,"2190,18 M€",13 oct 2025,"0,27 %",4 mar 2016
BNPP E MSCI EMU MIN TE ETF EUR,LU1291098827,—,"0,00 %",Eurozone Large-Cap Equity,,,,"1456,23 M€",10 oct 2025,"0,15 %",12 feb 2016
BNPP E MSCI EMU SRI PAB ETF Cap,LU1953137681,—,"0,00 %",Eurozone Large-Cap Equity,,,,"208,73 M€",13 oct 2025,"0,25 %",27 sept 2019
BNPP E MSCI Europe Min TE ETF Cap,LU1291099718,"17,69 €","0,00 %",Europe Large-Cap Blend Equity,,,,"3412,17 M€",10 oct 2025,"0,15 %",12 feb 2016
BNPP E MSCI Europe SRI PAB ETFDis,LU1753045415,—,"3,17 %",Europe Large-Cap Blend Equity,,,,"200,20 M€",13 oct 2025,"0,25 %",13 mar 2018
BNPP E MSCI Eurp SmCp SRI PABETFCap,LU1291101555,"298,55 €","0,00 %",Europe Small-Cap Equity,,,,"239,30 M€",10 oct 2025,"0,25 %",19 feb 2016
BNPP E MSCI Japan Min TE ETFCap,LU1291102447,—,"0,00 %",Japan Large-Cap Blend Equity,,,,"2075,19 M€",10 oct 2025,"0,16 %",26 feb 2016
BNPP E MSCI Japan SRI PAB ETFDis,LU1753045928,—,"1,92 %",Japan Large-Cap Blend Equity,,,,"45,49 M€",10 oct 2025,"0,26 %",13 mar 2018
BNPP E MSCI Jpn MinTEETFH€Cap,LU1481203070,—,"0,00 %",Other Equity,—,—,,"2075,19 M€",10 oct 2025,"0,16 %",16 may 2017
BNPP E MSCI PacexJpnMinTEMinTEETFCap,LU1291106356,"15,19 €","0,00 %",Pacific ex-Japan Equity,,,,"409,96 M€",13 oct 2025,"0,15 %",19 feb 2016
BNPP E MSCI Wld SRI PABETFCap,LU1291108642,—,"0,00 %",Global Large-Cap Blend Equity,,,,"1508,39 MUS$",13 oct 2025,"0,26 %",26 feb 2016
BNPP E MSCI Wld SRI PABETF€Cap,LU1615092217,—,"0,00 %",Global Large-Cap Blend Equity,,,,"1304,73 M€",13 oct 2025,"0,26 %",29 ago 2017
BNPP E Sst EUR Corp Bd Dec 2032 ETF C,LU2823895847,"10,66 €","0,00 %",Fixed Term Bond,—,—,,"37,47 M€",13 oct 2025,"0,12 %",22 jul 2024
BNPP E Sust € Corp Bd Dec 2027 ETF Cap,LU2823898353,"10,59 €","0,00 %",Fixed Term Bond,—,—,,"33,80 M€",13 oct 2025,"0,12 %",23 jul 2024
BNPP E Sust € Corp Bd Dec 2029 ETF Cap,LU2823896811,"10,69 €","0,00 %",Fixed Term Bond,—,—,,"35,40 M€",13 oct 2025,"0,12 %",22 jul 2024
BNPP E USD Corp Bd SRI Fssl Fr ETF $ Cap,LU2616774076,"11,65 US$","0,00 %",USD Corporate Bond,,—,,"92,79 MUS$",10 oct 2025,"0,20 %",6 sept 2023
BNPP E USD Corp Bd SRI Fssl Fr ETF H€Cap,LU3000546336,"10,27 €",—,Other Bond,—,—,,"80,13 M€",10 oct 2025,"0,20 %",4 mar 2025
BNPP E € Aggt Bd SRI Fssl Free ETF Cap,LU2533812991,"10,71 €","0,00 %",EUR Diversified Bond,,—,,"245,57 M€",13 oct 2025,"0,15 %",2 feb 2023
BNPP E € Aggt Bd SRI Fssl Free ETF Dist,LU2533812728,"10,10 €","2,90 %",EUR Diversified Bond,,—,,"245,57 M€",13 oct 2025,"0,15 %",2 feb 2023
BNPP E € Corp Bd SRI PAB 7-10Y ETF € Dis,LU2742532745,"10,51 €","2,21 %",EUR Corporate Bond,,—,,"39,38 M€",13 oct 2025,"0,15 %",7 may 2024
BNPP Easy Blmbrg Eurp Def ETF,LU3047998896,"11,36 €",—,Sector Equity Industrial Materials,—,—,,"252,39 M€",13 oct 2025,"0,18 %",27 may 2025
BNPP Easy Blmbrg Eurp Def ETF Dis,LU3047998979,"11,35 €",—,Sector Equity Industrial Materials,—,—,,"252,39 M€",13 oct 2025,"0,18 %",19 may 2025
BNPP Easy ESG Enh EUR Corp Bd ETF EURCap,LU2697596745,"10,87 €","0,00 %",EUR Corporate Bond,,—,,"105,31 M€",13 oct 2025,"0,18 %",11 ene 2024
BNPP Easy Euro Stoxx 50 ETF EUR C,FR0012739431,"17,86 €","0,00 %",Eurozone Large-Cap Equity,,,,"1195,79 M€",13 oct 2025,"0,10 %",26 jul 2015
BNPP Easy Euro Stoxx 50 ETF EUR C/D,FR0012740983,"13,77 €","2,92 %",Eurozone Large-Cap Equity,,,,"1195,79 M€",13 oct 2025,"0,10 %",26 jul 2015
BNPP EASY JPM ESG EMU Govt Bd IG 5-7YC,LU2993392898,"10,12 €",—,EUR Government Bond,—,—,—,"55,90 M€",13 oct 2025,"0,08 %",7 may 2025
BNPP Easy JPM ESG EMU Govt Bd IG ETF C,LU1481202692,—,"0,00 %",EUR Government Bond,,,,"3140,57 M€",13 oct 2025,"0,15 %",31 may 2017
BNPP Easy Lw Cb 100 Euroz PAB ETF EURAcc,LU2194448267,—,"0,00 %",Eurozone Large-Cap Equity,,,,"3,15 M€",13 oct 2025,"0,30 %",17 sept 2021
BNPP Easy MSCI USA Small Cap Min TE EUR,IE00050J4789,"10,76 €",—,US Small-Cap Equity,—,—,—,"48,95 M€",13 oct 2025,"0,25 %",16 may 2025
BNPP Easy MSCI USA SRI PAB ETF€Dis,LU1659681669,—,"1,56 %",US Large-Cap Blend Equity,,,,"367,89 M€",13 oct 2025,"0,25 %",25 oct 2017
BNPP Easy MSCI WldESGFilteredMinTEETFCap,IE0008FB2WZ1,"16,56 US$","0,00 %",Global Large-Cap Blend Equity,,—,,"729,76 MUS$",13 oct 2025,"0,16 %",6 oct 2023
BNPP Easy S&P 500 ETF EUR C,FR0011550185,"215,29 US$","0,00 %",US Large-Cap Blend Equity,,,,"7541,69 M€",13 oct 2025,"0,13 %",16 sept 2013
BNPP Easy S&P 500 ETF EUR H,FR0013041530,—,"0,00 %",Other Equity,—,—,,"7541,69 M€",13 oct 2025,"0,13 %",28 oct 2015
BNPP Easy S&P 500 II Cap,LU2993390504,—,—,US Large-Cap Blend Equity,—,—,—,"133,74 MUS$",13 oct 2025,—,6 may 2025
BNPP Easy S&P 500 II EUR Cap,LU2993390769,"11,62 €",—,US Large-Cap Blend Equity,—,—,—,"115,68 M€",13 oct 2025,"0,08 %",6 may 2025
BNPP Easy Stoxx Europe 600 ETF EUR C,FR0011550193,—,"0,00 %",Europe Large-Cap Blend Equity,,,,"1146,19 M€",13 oct 2025,"0,18 %",16 sept 2013
BNPP Easy Sust EUR Govt Bd ETF EUR Cap,LU2697597552,"10,41 €","0,00 %",EUR Government Bond,,—,,"148,16 M€",13 oct 2025,"0,12 %",11 ene 2024
BNPP Easy Sustainable Europe ETF Cap,LU2881684745,"11,00 €",—,Europe Large-Cap Blend Equity,—,—,,"234,32 M€",13 oct 2025,"0,20 %",4 dic 2024
BNPP Easy € Corp Bond SRI PAB ETF,LU1859444769,"10,64 €","0,00 %",EUR Corporate Bond,,,,"3214,10 M€",13 oct 2025,"0,15 %",15 ene 2019
BNPP Gold ETC,DE000PS7G0L8,—,—,Commodities - Precious Metals,—,—,—,"7,50 M€",13 oct 2025,"1,23 %",7 dic 2016
BNPP Paladium ETC,DE000PB8PAL7,—,—,Commodities - Precious Metals,—,—,—,"2,61 M€",13 oct 2025,"0,94 %",7 dic 2016
BNPP € Corp BdSRIFsslFrUltrshrtDurETF€C,LU2533812058,"10,81 €","0,00 %",EUR Corporate Bond - Short Term,,—,,"173,80 M€",13 oct 2025,"0,10 %",6 sept 2023
BNPPEasyMSCIWldESGFilteredMinTEETFEURCap,IE000W8HP9L8,"14,93 €","0,00 %",Global Large-Cap Blend Equity,,—,,"631,23 M€",13 oct 2025,"0,16 %",6 oct 2023
BNPPEasyMSCIWldESGFilteredMinTEETFHEURCp,IE000EHPAS96,"12,10 €","0,00 %",Other Equity,—,—,,"631,23 M€",13 oct 2025,"0,16 %",12 jun 2024
CASE Invest - Sustainable Future,LU2564007743,"63,42 €","0,00 %",Global Large-Cap Blend Equity,,—,—,"5,27 M€",10 oct 2025,"0,75 %",13 sept 2023
CO Eurizon SLJ EM Bd Strat Inc ETF A$Acc,IE000AM06QU6,"108,89 US$","0,00 %",—,—,—,,"111,21 MUS$",13 oct 2025,—,5 jul 2024
CO Eurizon SLJ EM Bd Strat IncETFA1£HAcc,IE000356FN00,"108,55 GBP","0,00 %",Global Emerging Markets Bond - GBP Hedged,,—,,"83,44 MGBP",13 oct 2025,—,5 jul 2024
CoinShares XBT Phys. St. Cardano SEK,SE0024367106,"54,20 SEK",—,Digital Assets,—,—,—,"1,15 MSEK",13 oct 2025,"0,00 %",21 may 2025
CoinShares XBT Physical Chainlink SEK,SE0024367080,"61,04 SEK",—,Digital Assets,—,—,—,"2,01 MSEK",13 oct 2025,"1,50 %",21 may 2025
CoinShares XBT Physical Litecoin - SEK,SE0024367098,"64,47 SEK",—,Digital Assets,—,—,—,"1,34 MSEK",13 oct 2025,"1,50 %",21 may 2025
CoinShares XBT Physical St. Polkadot SEK,SE0025010838,"30,72 SEK",—,Digital Assets,—,—,—,"1,95 MSEK",13 oct 2025,"0,00 %",21 may 2025
CoinShares XBT Physical St. Solana SEK,SE0024367114,"57,22 SEK",—,Digital Assets,—,—,—,"7,91 MSEK",13 oct 2025,"0,00 %",21 may 2025
CoinShares XBT Physical Uniswap SEK,SE0024367122,"76,34 SEK",—,Digital Assets,—,—,—,"380.285,00 SEK",13 oct 2025,"1,50 %",21 may 2025
CoinShares XBT Physical XRP SEK,SE0024367130,"46,10 SEK",—,Digital Assets,—,—,—,"3,11 MSEK",13 oct 2025,"1,50 %",21 may 2025
Collateralized EUR H ETC RICI En Engy TR,DE000PB8REE0,—,—,Commodities - Energy,—,—,—,"10.014,00 €",13 oct 2025,—,12 abr 2017
Collateralized EUR H ETC RICI En Mtls,DE000PR5RME1,—,—,Commodities - Industrial & Broad Metals,—,—,—,"17.777,00 €",13 oct 2025,—,12 abr 2017
Collateralized € H ETC RICI Enh Htg Oil,DE000PB6REH7,—,—,Commodities - Energy,—,—,—,"1883,00 €",13 oct 2025,—,12 abr 2017
Collateralized €H ETC RICI En Ind Mtls,DE000PB8REM3,—,—,Commodities - Industrial & Broad Metals,—,—,—,"115.171,00 €",13 oct 2025,—,12 abr 2017
Collateralized €H ETC RICI En Ntr Gas TR,DE000PB6REG9,—,—,Commodities - Energy,—,—,—,"2040,00 €",13 oct 2025,—,12 abr 2017
db Physical Rhodium ETC,GB00B684MW17,"845,00 US$","0,00 %",Commodities - Industrial & Broad Metals,—,—,—,"45,79 MUS$",13 oct 2025,—,19 may 2011
db Physical Rhodium ETC (EUR),DE000A1KJHG8,—,"0,00 %",Commodities - Industrial & Broad Metals,—,—,—,"14,42 M€",13 oct 2025,—,19 may 2011
Deka DAXplus® Max Div ETF,DE000ETFL235,—,"5,31 %",Germany Equity,,,,"245,74 M€",13 oct 2025,"0,30 %",3 abr 2009
Deka DAX® (ausschüttend) ETF,DE000ETFL060,"91,11 €","1,86 %",Germany Equity,,,,"1000,39 M€",13 oct 2025,"0,20 %",23 jun 2008
Deka DAX® ETF,DE000ETFL011,"212,85 €",—,Germany Equity,,,,"1725,26 M€",13 oct 2025,"0,20 %",14 mar 2008
Deka DAX® ex Financials 30 ETF,DE000ETFL433,"34,08 €","2,13 %",Germany Equity,,,,"14,79 M€",13 oct 2025,"0,30 %",10 jul 2013
Deka Dt. Boerse EUROGOV® Ger MM ETF,DE000ETFL227,"69,24 €","3,08 %",EUR Money Market,—,—,,"398,00 M€",13 oct 2025,"0,10 %",16 mar 2009
Deka Dt. Börse EUROGOV® Ger 1-3 ETF,DE000ETFL185,"76,59 €","1,03 %",EUR Government Bond - Short Term,,,,"340,40 M€",13 oct 2025,"0,20 %",16 mar 2009
Deka Dt. Börse EUROGOV® Ger 10+ ETF,DE000ETFL219,"102,65 €","2,02 %",EUR Bond - Long Term,,,,"50,10 M€",13 oct 2025,"0,20 %",16 mar 2009
Deka Dt. Börse EUROGOV® Ger 3-5 ETF,DE000ETFL193,—,"1,33 %",EUR Government Bond,,,,"65,89 M€",13 oct 2025,"0,20 %",16 mar 2009
Deka Dt. Börse EUROGOV® Ger 5-10 ETF,DE000ETFL201,"105,92 €","1,87 %",EUR Government Bond,,,,"202,72 M€",13 oct 2025,"0,20 %",16 mar 2009
Deka Dt. Börse EUROGOV® Ger ETF,DE000ETFL177,—,"1,04 %",EUR Government Bond,,,,"96,77 M€",13 oct 2025,"0,20 %",16 mar 2009
Deka Euro Corporates 0-3 Liquid ETF,DE000ETFL532,"956,72 €","2,69 %",EUR Corporate Bond - Short Term,,,,"59,19 M€",13 oct 2025,"0,20 %",9 ago 2019
Deka EURO iSTOXX® ex Fin Dividend+ ETF,DE000ETFL482,"24,13 €","4,12 %",Eurozone Large-Cap Equity,,,,"334,60 M€",13 oct 2025,"0,30 %",15 sept 2015
Deka Euro Prime ESG UCITS ETF,DE000ETFL474,"28,19 €","2,52 %",Eurozone Large-Cap Equity,,,,"441,32 M€",13 oct 2025,"0,40 %",4 ago 2015
Deka EURO STOXX 50® ESG Filtered ETF,DE000ETFL466,"126,52 €","2,32 %",Eurozone Large-Cap Equity,,,,"308,67 M€",13 oct 2025,"0,20 %",4 may 2015
Deka EURO STOXX® 50 ETF,DE000ETFL029,"56,07 €","2,43 %",Eurozone Large-Cap Equity,,,,"1105,19 M€",13 oct 2025,"0,20 %",14 mar 2008
Deka EURO STOXX® Select Dividend 30 ETF,DE000ETFL078,"20,87 €","4,71 %",Eurozone Large-Cap Equity,,,,"211,69 M€",13 oct 2025,"0,30 %",23 jun 2008
Deka Eurozone Rendite + 1-10 ETF,DE000ETFL490,"84,30 €","2,36 %",EUR Government Bond,,,,"16,47 M€",13 oct 2025,"0,20 %",2 nov 2015
Deka Future Energy ESG UCITS ETF,DE000ETFL607,"78,42 €","0,79 %",Sector Equity Alternative Energy,,,,"25,88 M€",13 oct 2025,"0,60 %",5 jul 2022
Deka iBoxx MSCI ESG EUR Crp Green Bd ETF,DE000ETFL615,"103,84 €","3,91 %",EUR Corporate Bond,,—,,"165,99 M€",13 oct 2025,"0,30 %",2 ago 2023
Deka iBoxx € Liq Non-Fincls Dvrsfd ETF,DE000ETFL383,"98,85 €","3,07 %",EUR Corporate Bond,,,,"151,69 M€",13 oct 2025,"0,20 %",3 mar 2011
Deka iBoxx € Liquid Corporate Dvrsfd ETF,DE000ETFL375,"101,52 €","3,46 %",EUR Corporate Bond,,,,"319,27 M€",13 oct 2025,"0,20 %",17 feb 2010
Deka iBoxx € Liquid Ger. Cov Dvrsfd ETF,DE000ETFL359,—,"2,36 %",EUR Corporate Bond,,,,"50,89 M€",13 oct 2025,"0,10 %",16 dic 2009
Deka iBoxx € Liquid Sov Dvrsfd 1-10 ETF,DE000ETFL110,"102,82 €","1,32 %",EUR Government Bond,,,,"51,31 M€",13 oct 2025,"0,20 %",2 mar 2009
Deka iBoxx € Liquid Sov Dvrsfd 1-3 ETF,DE000ETFL128,"93,95 €","1,16 %",EUR Government Bond - Short Term,,,,"29,35 M€",13 oct 2025,"0,20 %",2 mar 2009
Deka iBoxx € Liquid Sov Dvrsfd 10+ ETF,DE000ETFL169,"95,58 €","2,19 %",EUR Bond - Long Term,,,,"8,45 M€",13 oct 2025,"0,20 %",3 mar 2009
Deka iBoxx € Liquid Sov Dvrsfd 3-5 ETF,DE000ETFL136,"95,33 €","2,64 %",EUR Government Bond,,,,"14,05 M€",13 oct 2025,"0,20 %",2 mar 2009
Deka iBoxx € Liquid Sov Dvrsfd 5-7 ETF,DE000ETFL144,"104,92 €","0,78 %",EUR Government Bond,,,,"146,55 M€",13 oct 2025,"0,20 %",3 mar 2009
Deka iBoxx € Liquid Sov Dvrsfd 7-10 ETF,DE000ETFL151,"111,10 €","2,45 %",EUR Government Bond,,,,"20,26 M€",13 oct 2025,"0,20 %",3 mar 2009
Deka MDAX® ETF,DE000ETFL441,"281,00 €",—,Germany Small/Mid-Cap Equity,,,,"978,08 M€",13 oct 2025,"0,30 %",11 abr 2014
Deka MSCI EMU Clim Chg ESG ETF,DE000ETFL557,"19,42 €","2,26 %",Eurozone Large-Cap Equity,,,,"231,90 M€",13 oct 2025,"0,20 %",26 jun 2020
Deka MSCI EUR Corp Clim Change ESG ETF,DE000ETFL599,"89,15 €","3,12 %",EUR Corporate Bond,,,,"241,78 M€",13 oct 2025,"0,20 %",2 nov 2021
Deka MSCI Europe Clim Chg ESG ETF,DE000ETFL565,"17,12 €","2,21 %",Europe Large-Cap Blend Equity,,,,"419,66 M€",13 oct 2025,"0,30 %",26 jun 2020
Deka MSCI Europe ETF,DE000ETFL284,"19,06 €","2,45 %",Europe Large-Cap Blend Equity,,,,"1065,79 M€",13 oct 2025,"0,30 %",9 jun 2009
Deka MSCI Europe MC ETF,DE000ETFL292,"14,71 €","3,24 %",Europe Mid-Cap Equity,,,,"43,95 M€",13 oct 2025,"0,40 %",9 jun 2009
Deka MSCI Germany Clim Chg ESG ETF,DE000ETFL540,"15,74 €","1,81 %",Germany Equity,,,,"205,19 M€",13 oct 2025,"0,20 %",26 jun 2020
Deka MSCI USA Climate Chg ESG ETF,DE000ETFL573,"56,86 €","0,59 %",US Large-Cap Blend Equity,,,,"705,99 M€",13 oct 2025,"0,30 %",26 jun 2020
Deka MSCI World Clim Chg ESG ETF,DE000ETFL581,"38,06 €","0,82 %",Global Large-Cap Blend Equity,,,,"1414,43 M€",13 oct 2025,"0,30 %",19 jun 2020
Deka MSCI World ETF,DE000ETFL508,"37,66 €","1,04 %",Global Large-Cap Blend Equity,,,,"4038,41 M€",13 oct 2025,"0,30 %",4 sept 2018
Deka Nasdaq-100® ETF,DE000ETFL623,"150,56 €","0,32 %",US Large-Cap Growth Equity,,—,,"71,62 M€",13 oct 2025,"0,30 %",4 oct 2023
Deka S&P 500 ETF,DE000ETFL631,"118,88 €","0,76 %",US Large-Cap Blend Equity,,—,,"96,47 M€",13 oct 2025,"0,10 %",20 mar 2024
