ClienteID,Edad,Sueldo_Anual,Patrimonio,Horizonte,Tolerancia_Riesgo,Conocimiento_Inversor,Peso_RF,Peso_RV,Peso_Alt
411,26,2745,36460,Medio,Baja,Medio,0.6,0.3,0.1
412,55,3502,241567,Corto,Baja,Alto,0.65,0.25,0.1
413,64,2812,191745,Medio,Baja,Bajo,0.6,0.3,0.1
414,39,3231,114274,Corto,Baja,Medio,0.65,0.25,0.1
415,20,1713,5000,Corto,Baja,Alto,0.65,0.25,0.1
416,27,3793,54701,Largo,Baja,Medio,0.5,0.35,0.15
417,65,2968,188107,Largo,Alta,Medio,0.2,0.5,0.3
418,35,4598,94424,Largo,Baja,Medio,0.5,0.35,0.15
419,33,3278,92384,Largo,Media,Alto,0.3,0.55,0.15
420,31,2352,75953,Medio,Baja,Medio,0.6,0.3,0.1
421,42,3400,193242,Largo,Baja,Alto,0.5,0.35,0.15
422,34,3161,48011,Corto,Alta,Alto,0.3,0.5,0.2
423,47,3250,124447,Medio,Alta,Alto,0.2,0.55,0.25
424,53,4701,399882,Largo,Media,Medio,0.3,0.55,0.15
425,21,2003,5000,Corto,Media,Alto,0.45,0.45,0.1
426,51,3886,226072,Medio,Alta,Alto,0.2,0.55,0.25
427,42,4224,219280,Medio,Alta,Medio,0.2,0.55,0.25
428,41,4046,122231,Largo,Baja,Medio,0.5,0.35,0.15
429,44,3509,175638,Medio,Alta,Alto,0.2,0.55,0.25
430,41,4523,115513,Corto,Media,Medio,0.45,0.45,0.1
431,41,3029,105706,Medio,Baja,Alto,0.6,0.3,0.1
432,68,2808,295551,Corto,Media,Alto,0.45,0.45,0.1
433,61,4145,177846,Medio,Baja,Bajo,0.6,0.3,0.1
434,25,2762,34084,Largo,Alta,Alto,0.2,0.5,0.3
435,34,3080,87936,Corto,Media,Medio,0.45,0.45,0.1
436,62,2916,286086,Medio,Baja,Bajo,0.6,0.3,0.1
437,56,4366,336772,Medio,Baja,Bajo,0.6,0.3,0.1
438,52,4028,365334,Medio,Alta,Medio,0.2,0.55,0.25
439,27,2655,40935,Corto,Alta,Alto,0.3,0.5,0.2
440,63,4449,333867,Corto,Alta,Medio,0.3,0.5,0.2
441,63,3280,292905,Corto,Media,Medio,0.45,0.45,0.1
442,24,1614,16743,Largo,Baja,Medio,0.5,0.35,0.15
443,58,2712,209793,Largo,Alta,Medio,0.2,0.5,0.3
444,23,2285,16051,Corto,Media,Medio,0.45,0.45,0.1
445,25,2276,19583,Medio,Media,Alto,0.4,0.5,0.1
446,64,4920,347330,Largo,Media,Alto,0.3,0.55,0.15
447,51,2605,94122,Corto,Alta,Medio,0.3,0.5,0.2
448,49,5439,484522,Medio,Alta,Medio,0.2,0.55,0.25
449,66,2606,150417,Largo,Baja,Bajo,0.5,0.35,0.15
450,54,4094,221559,Medio,Baja,Medio,0.6,0.3,0.1
451,59,3387,207832,Medio,Alta,Medio,0.2,0.55,0.25
452,35,4016,156392,Medio,Media,Alto,0.4,0.5,0.1
453,32,2898,65405,Medio,Media,Alto,0.4,0.5,0.1
454,69,3052,411138,Largo,Media,Alto,0.3,0.55,0.15
455,61,3826,250892,Largo,Baja,Bajo,0.5,0.35,0.15
456,49,4279,270901,Largo,Media,Alto,0.3,0.55,0.15
457,38,3508,96322,Corto,Baja,Medio,0.65,0.25,0.1
458,36,3712,199375,Largo,Baja,Alto,0.5,0.35,0.15
459,38,3955,93282,Medio,Media,Medio,0.4,0.5,0.1
460,47,2884,171661,Largo,Media,Alto,0.3,0.55,0.15
461,45,3156,189681,Medio,Alta,Medio,0.2,0.55,0.25
462,56,4246,344999,Corto,Alta,Alto,0.3,0.5,0.2
463,45,4295,204840,Medio,Media,Alto,0.4,0.5,0.1
464,42,3627,155324,Medio,Baja,Medio,0.6,0.3,0.1
465,28,2926,49921,Medio,Baja,Medio,0.6,0.3,0.1
466,31,3090,67285,Corto,Baja,Alto,0.65,0.25,0.1
467,20,1903,5000,Largo,Baja,Medio,0.5,0.35,0.15
468,20,1824,5000,Largo,Baja,Medio,0.5,0.35,0.15
469,66,2598,199214,Corto,Alta,Medio,0.3,0.5,0.2
470,53,3433,134155,Medio,Media,Medio,0.4,0.5,0.1
471,51,4473,271635,Largo,Alta,Alto,0.2,0.5,0.3
472,67,1649,275142,Corto,Baja,Bajo,0.65,0.25,0.1
473,44,4436,163341,Largo,Baja,Medio,0.5,0.35,0.15
474,59,4065,474318,Corto,Baja,Bajo,0.65,0.25,0.1
475,64,3921,519421,Medio,Baja,Bajo,0.6,0.3,0.1
476,20,2411,5000,Largo,Media,Medio,0.3,0.55,0.15
477,35,4860,174670,Corto,Baja,Medio,0.65,0.25,0.1
478,58,4426,502283,Largo,Media,Medio,0.3,0.55,0.15
479,24,1470,11621,Largo,Baja,Medio,0.5,0.35,0.15
480,41,2897,115820,Largo,Media,Medio,0.3,0.55,0.15
481,48,3698,172293,Largo,Alta,Medio,0.2,0.5,0.3
482,22,2092,7217,Corto,Baja,Medio,0.65,0.25,0.1
483,31,3175,58238,Medio,Media,Alto,0.4,0.5,0.1
484,45,3622,115749,Corto,Alta,Medio,0.3,0.5,0.2
485,35,3875,120178,Corto,Baja,Medio,0.65,0.25,0.1
486,56,3246,180425,Corto,Baja,Bajo,0.65,0.25,0.1
487,41,3342,152282,Medio,Baja,Medio,0.6,0.3,0.1
488,48,3112,93657,Largo,Media,Medio,0.3,0.55,0.15
489,33,2455,72163,Largo,Media,Medio,0.3,0.55,0.15
490,47,3153,214650,Largo,Alta,Medio,0.2,0.5,0.3
491,24,1758,6302,Medio,Media,Alto,0.4,0.5,0.1
492,66,3027,310003,Largo,Media,Medio,0.3,0.55,0.15
493,68,2025,266108,Medio,Baja,Bajo,0.6,0.3,0.1
494,49,6141,228566,Largo,Baja,Medio,0.5,0.35,0.15
495,65,2747,371695,Largo,Baja,Bajo,0.5,0.35,0.15
496,24,2145,21538,Corto,Baja,Alto,0.65,0.25,0.1
497,31,2487,44671,Medio,Baja,Medio,0.6,0.3,0.1
498,35,4217,127295,Corto,Baja,Medio,0.65,0.25,0.1
499,45,3735,220210,Corto,Baja,Medio,0.65,0.25,0.1
500,45,4258,219932,Corto,Alta,Medio,0.3,0.5,0.2
